Designator,Reason,LCSC
D6,Intentional circuit DNP,C85382
D7,Intentional circuit DNP,C85382
R17,Intentional circuit DNP,C23186
R18,Intentional circuit DNP,C23186
J2,Bare copper; no component,
J3,Bare copper; no component,
